player_id,player,team,minutes,goals,assists,shots,np_xg,key_passes,progressive_passes,progressive_carries,tackles,interceptions,pressures,aerials_won,aerials_total,dribbles_completed,through_balls,crosses,per90,goals_p90,assists_p90,shots_p90,np_xg_p90,key_passes_p90,progressive_passes_p90,progressive_carries_p90,tackles_p90,interceptions_p90,pressures_p90,aerials_won_p90,dribbles_completed_p90,through_balls_p90,crosses_p90,aerial_win_pct,source,depth,season,competition
3339,Asmir Begović,Chelsea,1382,0,0,0,0.0,0,342,11,0,0,6,0,0,0,0,0,0.06512301013024602,0.0,0.0,0.0,0.0,0.0,22.27,0.72,0.0,0.0,0.39,0.0,0.0,0.0,0.0,,statsbomb,event-level,2015/2016,Premier League
3381,Nemanja Matić,Chelsea,2446,2,2,34,2.3584048279999994,14,349,150,88,47,486,50,50,27,9,15,0.03679476696647588,0.07,0.07,1.25,0.09,0.52,12.84,5.52,3.24,1.73,17.88,1.84,0.99,0.33,0.55,100.0,statsbomb,event-level,2015/2016,Premier League
3385,Alexis Alejandro Sánchez Sánchez,Arsenal,2467,13,4,111,11.263074479399997,53,417,170,39,14,400,27,27,103,27,55,0.03648155654641265,0.47,0.15,4.05,0.41,1.93,15.21,6.2,1.42,0.51,14.59,0.99,3.76,0.99,2.01,100.0,statsbomb,event-level,2015/2016,Premier League
3394,Laurent Koscielny,Arsenal,2892,4,0,20,3.2021660299999994,9,543,180,53,61,269,134,134,5,5,2,0.03112033195020747,0.12,0.0,0.62,0.1,0.28,16.9,5.6,1.65,1.9,8.37,4.17,0.16,0.16,0.06,100.0,statsbomb,event-level,2015/2016,Premier League
3437,Francis Joseph Coquelin,Arsenal,1663,0,0,9,0.23580311050000002,6,236,19,78,52,365,26,26,30,7,4,0.054119061936259774,0.0,0.0,0.49,0.01,0.32,12.77,1.03,4.22,2.81,19.75,1.41,1.62,0.38,0.22,100.0,statsbomb,event-level,2015/2016,Premier League
3456,Kurt Happy Zouma,Chelsea,1942,1,0,16,1.5417155560000002,0,221,31,28,24,153,89,89,4,0,4,0.046343975283213185,0.05,0.0,0.74,0.07,0.0,10.24,1.44,1.3,1.11,7.09,4.12,0.19,0.0,0.19,100.0,statsbomb,event-level,2015/2016,Premier League
3461,Petr Čech,Arsenal,3014,0,0,0,0.0,2,896,40,0,0,3,0,0,2,1,0,0.029860650298606503,0.0,0.0,0.0,0.0,0.06,26.76,1.19,0.0,0.0,0.09,0.0,0.06,0.03,0.0,,statsbomb,event-level,2015/2016,Premier League
3478,Francesc Fàbregas i Soler,Chelsea,2990,5,7,48,4.0294038148,62,1043,165,118,33,776,31,31,24,51,45,0.030100334448160536,0.15,0.21,1.44,0.12,1.87,31.39,4.97,3.55,0.99,23.36,0.93,0.72,1.54,1.35,100.0,statsbomb,event-level,2015/2016,Premier League
3496,Mesut Özil,Arsenal,3096,6,19,49,5.966240685399999,123,689,157,34,19,467,10,10,54,32,89,0.029069767441860465,0.17,0.55,1.42,0.17,3.58,20.03,4.56,0.99,0.55,13.58,0.29,1.57,0.93,2.59,100.0,statsbomb,event-level,2015/2016,Premier League
3498,Ignacio Monreal Eraso,Arsenal,3298,0,3,13,1.2020762510000003,25,763,82,83,66,428,80,80,12,5,83,0.0272892662219527,0.0,0.08,0.35,0.03,0.68,20.82,2.24,2.27,1.8,11.68,2.18,0.33,0.14,2.27,100.0,statsbomb,event-level,2015/2016,Premier League
3511,Héctor Bellerín Moruno,Arsenal,3292,1,5,13,0.614905337,19,587,196,62,40,366,39,39,67,8,81,0.027339003645200487,0.03,0.14,0.36,0.02,0.52,16.05,5.36,1.7,1.09,10.01,1.07,1.83,0.22,2.21,100.0,statsbomb,event-level,2015/2016,Premier League
3517,Aaron Ramsey,Arsenal,2681,5,4,67,7.3723388698,34,507,154,88,32,696,29,29,41,12,35,0.03356956359567326,0.17,0.13,2.25,0.25,1.14,17.02,5.17,2.95,1.07,23.36,0.97,1.38,0.4,1.17,100.0,statsbomb,event-level,2015/2016,Premier League
3525,Alex Oxlade-Chamberlain,Arsenal,944,1,0,23,1.4757364622999998,17,140,103,24,11,188,14,14,36,3,31,0.09533898305084745,0.1,0.0,2.19,0.14,1.62,13.35,9.82,2.29,1.05,17.92,1.33,3.43,0.29,2.96,100.0,statsbomb,event-level,2015/2016,Premier League
3604,Olivier Giroud,Arsenal,2485,16,6,103,13.017702892999997,26,94,23,41,4,426,157,157,14,7,18,0.03621730382293763,0.58,0.22,3.73,0.47,0.94,3.4,0.83,1.48,0.14,15.43,5.69,0.51,0.25,0.65,100.0,statsbomb,event-level,2015/2016,Premier League
